Name: OUT01_MMXU1PPVPhsABIMag | KeyTag: 12200000
Name: OUT01_MMXU1PPVPhsBCIMag | KeyTag: 12220000
Name: OUT01_MMXU1PPVPhsCAIMag | KeyTag: 12240000
Name: OUT01_MMXU1APhsAIMag | KeyTag: 12140000
Name: OUT01_MMXU1APhsBIMag | KeyTag: 12160000
Name: OUT01_MMXU1APhsCIMag | KeyTag: 12180000
Name: OUT01_MMXU1TotWInstMag | KeyTag: 12320000
Name: OUT01_MMXU1TotVArInstMag | KeyTag: 12300000
Name: OUT01_MMXU1TotPFMag | KeyTag: 12280000
Name: OUT01_CSWI2PosStVal | KeyTag: 9020002
Name: OUT02_MMXU1PPVPhsABIMag | KeyTag: 12640000
Name: OUT02_MMXU1PPVPhsBCIMag | KeyTag: 12660000
Name: OUT02_MMXU1PPVPhsCAIMag | KeyTag: 12680000
Name: OUT02_MMXU1APhsAIMag | KeyTag: 12580000
Name: OUT02_MMXU1APhsBIMag | KeyTag: 12600000
Name: OUT02_MMXU1APhsCIMag | KeyTag: 12620000
Name: OUT02_MMXU1TotWInstMag | KeyTag: 12740000
Name: OUT02_MMXU1TotVArInstMag | KeyTag: 12720000
Name: OUT02_MMXU1TotPFMag | KeyTag: 12700000
Name: OUT02_CSWI2PosStVal | KeyTag: 11140002
Name: OUT03_MMXU1PPVPhsABIMag | KeyTag: 13060000
Name: OUT03_MMXU1PPVPhsBCIMag | KeyTag: 13080000
Name: OUT03_MMXU1PPVPhsCAIMag | KeyTag: 13100000
Name: OUT03_MMXU1APhsAIMag | KeyTag: 13000000
Name: OUT03_MMXU1APhsBIMag | KeyTag: 13020000
Name: OUT03_MMXU1APhsCIMag | KeyTag: 13040000
Name: OUT03_MMXU1TotWInstMag | KeyTag: 13160000
Name: OUT03_MMXU1TotVArInstMag | KeyTag: 13140000
Name: OUT03_MMXU1TotPFMag | KeyTag: 13120000
Name: OUT03_CSWI2PosStVal | KeyTag: 13260002
Name: OUT04_MMXU1PPVPhsABIMag | KeyTag: 13480000
Name: OUT04_MMXU1PPVPhsBCIMag | KeyTag: 13500000
Name: OUT04_MMXU1PPVPhsCAIMag | KeyTag: 13520000
Name: OUT04_MMXU1APhsAIMag | KeyTag: 13420000
Name: OUT04_MMXU1APhsBIMag | KeyTag: 13440000
Name: OUT04_MMXU1APhsCIMag | KeyTag: 13460000
Name: OUT04_MMXU1TotWInstMag | KeyTag: 13580000
Name: OUT04_MMXU1TotVArInstMag | KeyTag: 13560000
Name: OUT04_MMXU1TotPFMag | KeyTag: 13540000
Name: OUT04_CSWI2PosStVal | KeyTag: 15400002
Name: OUT05_MMXU1PPVPhsABIMag | KeyTag: 13900000
Name: OUT05_MMXU1PPVPhsBCIMag | KeyTag: 13920000
Name: OUT05_MMXU1PPVPhsCAIMag | KeyTag: 13940000
Name: OUT05_MMXU1APhsAIMag | KeyTag: 13840000
Name: OUT05_MMXU1APhsBIMag | KeyTag: 13860000
Name: OUT05_MMXU1APhsCIMag | KeyTag: 13880000
Name: OUT05_MMXU1TotWInstMag | KeyTag: 14000000
Name: OUT05_MMXU1TotVArInstMag | KeyTag: 13980000
Name: OUT05_MMXU1TotPFMag | KeyTag: 13960000
Name: OUT05_CSWI2PosStVal | KeyTag: 17520002
Name: OUT06_MMXU1PPVPhsABIMag | KeyTag: 14320000
Name: OUT06_MMXU1PPVPhsBCIMag | KeyTag: 14340000
Name: OUT06_MMXU1PPVPhsCAIMag | KeyTag: 14360000
Name: OUT06_MMXU1APhsAIMag | KeyTag: 14260000
Name: OUT06_MMXU1APhsBIMag | KeyTag: 14280000
Name: OUT06_MMXU1APhsCIMag | KeyTag: 14300000
Name: OUT06_MMXU1TotWInstMag | KeyTag: 14420000
Name: OUT06_MMXU1TotVArInstMag | KeyTag: 14400000
Name: OUT06_MMXU1TotPFMag | KeyTag: 14380000
Name: OUT06_CSWI2PosStVal | KeyTag: 1640003
Name: OUT07_MMXU1PPVPhsABIMag | KeyTag: 14740000
Name: OUT07_MMXU1PPVPhsBCIMag | KeyTag: 14760000
Name: OUT07_MMXU1PPVPhsCAIMag | KeyTag: 14780000
Name: OUT07_MMXU1APhsAIMag | KeyTag: 14680000
Name: OUT07_MMXU1APhsBIMag | KeyTag: 14700000
Name: OUT07_MMXU1APhsCIMag | KeyTag: 14720000
Name: OUT07_MMXU1TotWInstMag | KeyTag: 14840000
Name: OUT07_MMXU1TotVArInstMag | KeyTag: 14820000
Name: OUT07_MMXU1TotPFMag | KeyTag: 14800000
Name: OUT07_CSWI2PosStVal | KeyTag: 3760003
Name: OUT08_MMXU1PPVPhsABIMag | KeyTag: 15160000
Name: OUT08_MMXU1PPVPhsBCIMag | KeyTag: 15180000
Name: OUT08_MMXU1PPVPhsCAIMag | KeyTag: 15200000
Name: OUT08_MMXU1APhsAIMag | KeyTag: 15100000
Name: OUT08_MMXU1APhsBIMag | KeyTag: 15120000
Name: OUT08_MMXU1APhsCIMag | KeyTag: 15140000
Name: OUT08_MMXU1TotWInstMag | KeyTag: 15260000
Name: OUT08_MMXU1TotVArInstMag | KeyTag: 15240000
Name: OUT08_MMXU1TotPFMag | KeyTag: 15220000
Name: OUT08_CSWI2PosStVal | KeyTag: 5860003
Name: OUT09_MMXU1PPVPhsABIMag | KeyTag: 15580000
Name: OUT09_MMXU1PPVPhsBCIMag | KeyTag: 15600000
Name: OUT09_MMXU1PPVPhsCAIMag | KeyTag: 15620000
Name: OUT09_MMXU1APhsAIMag | KeyTag: 15520000
Name: OUT09_MMXU1APhsBIMag | KeyTag: 15540000
Name: OUT09_MMXU1APhsCIMag | KeyTag: 15560000
Name: OUT09_MMXU1TotWInstMag | KeyTag: 15680000
Name: OUT09_MMXU1TotVArInstMag | KeyTag: 15660000
Name: OUT09_MMXU1TotPFMag | KeyTag: 15640000
Name: OUT09_CSWI2PosStVal | KeyTag: 7960003
Name: OUT10_MMXU1PPVPhsABIMag | KeyTag: 15980000
Name: OUT10_MMXU1PPVPhsBCIMag | KeyTag: 16000000
Name: OUT10_MMXU1PPVPhsCAIMag | KeyTag: 16020000
Name: OUT10_MMXU1APhsAIMag | KeyTag: 15920000
Name: OUT10_MMXU1APhsBIMag | KeyTag: 15940000
Name: OUT10_MMXU1APhsCIMag | KeyTag: 15960000
Name: OUT10_MMXU1TotWInstMag | KeyTag: 16080000
Name: OUT10_MMXU1TotVArInstMag | KeyTag: 16060000
Name: OUT10_MMXU1TotPFMag | KeyTag: 16040000
Name: OUT10_CSWI2PosStVal | KeyTag: 10160003
Name: BS01_MMXU1PPVPhsABIMag | KeyTag: 8080000
Name: BS01_MMXU1PPVPhsBCIMag | KeyTag: 8100000
Name: BS01_MMXU1PPVPhsCAIMag | KeyTag: 8120000
Name: BS01_MMXU1APhsAIMag | KeyTag: 8020000
Name: BS01_MMXU1APhsBIMag | KeyTag: 8040000
Name: BS01_MMXU1APhsCIMag | KeyTag: 8060000
Name: BS01_MMXU1TotWInstMag | KeyTag: 8200000
Name: BS01_MMXU1TotVArInstMag | KeyTag: 8180000
Name: BS01_MMXU1TotPFMag | KeyTag: 8160000
Name: BS01_CSWI2PosStVal | KeyTag: 2140001
Name: CAP01_MMXU1PPVPhsABIMag | KeyTag: 8520000
Name: CAP01_MMXU1PPVPhsBCIMag | KeyTag: 8540000
Name: CAP01_MMXU1PPVPhsCAIMag | KeyTag: 8560000
Name: CAP01_MMXU1APhsAIMag | KeyTag: 8460000
Name: CAP01_MMXU1APhsBIMag | KeyTag: 8480000
Name: CAP01_MMXU1APhsCIMag | KeyTag: 8500000
Name: CAP01_MMXU1TotWInstMag | KeyTag: 8640000
Name: CAP01_MMXU1TotVArInstMag | KeyTag: 8620000
Name: CAP01_MMXU1TotPFMag | KeyTag: 8600000
Name: CAP01_CSWI2PosStVal | KeyTag: 3840001
Name: CAP02_MMXU1PPVPhsABIMag | KeyTag: 8960000
Name: CAP02_MMXU1PPVPhsBCIMag | KeyTag: 8980000
Name: CAP02_MMXU1PPVPhsCAIMag | KeyTag: 9000000
Name: CAP02_MMXU1APhsAIMag | KeyTag: 8900000
Name: CAP02_MMXU1APhsBIMag | KeyTag: 8920000
Name: CAP02_MMXU1APhsCIMag | KeyTag: 8940000
Name: CAP02_MMXU1TotWInstMag | KeyTag: 9080000
Name: CAP02_MMXU1TotVArInstMag | KeyTag: 9060000
Name: CAP02_MMXU1TotPFMag | KeyTag: 9040000
Name: CAP02_CSWI2PosStVal | KeyTag: 6680001
Name: TS01_MMXU1PPVPhsABIMag | KeyTag: 16420000
Name: TS01_MMXU1PPVPhsBCIMag | KeyTag: 16440000
Name: TS01_MMXU1PPVPhsCAIMag | KeyTag: 16460000
Name: TS01_MMXU1APhsAIMag | KeyTag: 16320000
Name: TS01_MMXU1APhsBIMag | KeyTag: 16340000
Name: TS01_MMXU1APhsCIMag | KeyTag: 16360000
Name: TS01_MMXU1TotWInstMag | KeyTag: 16540000
Name: TS01_MMXU1TotVArInstMag | KeyTag: 16520000
Name: TS01_MMXU1TotPFMag | KeyTag: 16500000
Name: TS01_CSWI2PosStVal | KeyTag: 11960003
Name: TS02_MMXU1PPVPhsABIMag | KeyTag: 16820000
Name: TS02_MMXU1PPVPhsBCIMag | KeyTag: 16840000
Name: TS02_MMXU1PPVPhsCAIMag | KeyTag: 16860000
Name: TS02_MMXU1APhsAIMag | KeyTag: 16720000
Name: TS02_MMXU1APhsBIMag | KeyTag: 16740000
Name: TS02_MMXU1APhsCIMag | KeyTag: 16760000
Name: TS02_MMXU1TotWInstMag | KeyTag: 16940000
Name: TS02_MMXU1TotVArInstMag | KeyTag: 16920000
Name: TS02_MMXU1TotPFMag | KeyTag: 16900000
Name: TS02_CSWI2PosStVal | KeyTag: 13600003
Name: INC01_MMXU1PPVPhsABIMag | KeyTag: 9380000
Name: INC01_MMXU1PPVPhsBCIMag | KeyTag: 9400000
